phase,stateBefore,emulatedCycles,pc,pr,modelAudioTableBase,modelAudioElementIndex,modelAudioRowIndex,authoredPairIndex,selectedMemberAddress,localFrameAddress,localFieldOffset,commandHex
openingStart,closed,165602954544,0c3cd768,0c3cd70c,0c458218,26,6,0,0c458280,0c498704,4,ab020200
closingStart,open,168045182976,0c3d54b8,0c3d545c,0c458218,27,6,1,0c458284,0c498728,0,ab020300
